group,variant,seed,target_tokens,actual_tokens,needle_frac,gold,n_heads,baseline_logprob,ablated_logprob,delta_logprob
non_address_inactive_control,paraphrase,201235,8192,8192,0.1,207278,16,-2.3249409993489585,-2.10782790184021,0.21711309750874852
strong13_inactive_control,paraphrase,201235,8192,8192,0.1,207278,13,-2.3249409993489585,-2.0865569909413657,0.23838400840759277
core19_inactive_control,paraphrase,201235,8192,8192,0.1,207278,19,-2.3249409993489585,-2.1268523534139,0.1980886459350586
first_token_sink_inactive_control,paraphrase,201235,8192,8192,0.1,207278,6,-2.3249409993489585,-2.148705164591471,0.17623583475748728
query_tail_inactive_control,paraphrase,201235,8192,8192,0.1,207278,9,-2.3249409993489585,-2.2103644212086997,0.11457657814025879
answer_address,paraphrase,201236,8192,8191,0.1,331504,3,-2.178695241610209,-2.355910857518514,-0.17721561590830515
non_address_core,paraphrase,201236,8192,8191,0.1,331504,16,-2.178695241610209,-3.605228861172994,-1.4265336195627851
strong13,paraphrase,201236,8192,8191,0.1,331504,13,-2.178695241610209,-3.3976815938949585,-1.2189863522847495
core19,paraphrase,201236,8192,8191,0.1,331504,19,-2.178695241610209,-3.5635659297307334,-1.3848706881205244
first_token_sink,paraphrase,201236,8192,8191,0.1,331504,6,-2.178695241610209,-2.4699061711629233,-0.2912109295527143
query_tail,paraphrase,201236,8192,8191,0.1,331504,9,-2.178695241610209,-3.355567693710327,-1.1768724521001181
answer_address_inactive_control,paraphrase,201236,8192,8191,0.1,331504,3,-2.178695241610209,-2.1472471157709756,0.0314481258392334
non_address_inactive_control,paraphrase,201236,8192,8191,0.1,331504,16,-2.178695241610209,-2.147406895955404,0.031288345654805205
strong13_inactive_control,paraphrase,201236,8192,8191,0.1,331504,13,-2.178695241610209,-2.0637561877568564,0.11493905385335257
core19_inactive_control,paraphrase,201236,8192,8191,0.1,331504,19,-2.178695241610209,-2.115978161493937,0.06271708011627197
first_token_sink_inactive_control,paraphrase,201236,8192,8191,0.1,331504,6,-2.178695241610209,-2.1055352687835693,0.07315997282663966
query_tail_inactive_control,paraphrase,201236,8192,8191,0.1,331504,9,-2.178695241610209,-2.1678977012634277,0.010797540346781265
answer_address,paraphrase,201237,8192,8192,0.1,888821,3,-2.145953814188639,-2.1668028036753335,-0.020848989486694336
non_address_core,paraphrase,201237,8192,8192,0.1,888821,16,-2.145953814188639,-3.3750662406285605,-1.2291124264399214
strong13,paraphrase,201237,8192,8192,0.1,888821,13,-2.145953814188639,-3.062606374422709,-0.9166525602340698
core19,paraphrase,201237,8192,8192,0.1,888821,19,-2.145953814188639,-3.375062028566996,-1.229108214378357
first_token_sink,paraphrase,201237,8192,8192,0.1,888821,6,-2.145953814188639,-2.4480148951212564,-0.3020610809326172
query_tail,paraphrase,201237,8192,8192,0.1,888821,9,-2.145953814188639,-3.2084275484085083,-1.0624737342198691
answer_address_inactive_control,paraphrase,201237,8192,8192,0.1,888821,3,-2.145953814188639,-2.1459484895070395,5.324681599638836e-06
